# Disk blueprint: measure block-layer behaviour across EVERY fault family.
#
# F17 lesson: the network signal was checked against 8 of 13 families and the one
# skipped - svc_mem_cap - was the one that broke it. So this covers all 13 from the
# start, on both applications.
#
# Format: <app> <family> <run_id>

# ---- sockshop ----
sockshop anomaly_disk anomaly_disk_aggressive_steady_r1
sockshop anomaly_disk anomaly_disk_aggressive_steady_r2
sockshop anomaly_disk anomaly_disk_aggressive_steady_r3
sockshop anomaly_cpu anomaly_cpu_aggressive_steady_r1
sockshop anomaly_cpu anomaly_cpu_aggressive_steady_r2
sockshop anomaly_mem anomaly_mem_aggressive_steady_r1
sockshop anomaly_mem anomaly_mem_aggressive_steady_r2
sockshop anomaly_mem anomaly_mem_aggressive_steady_r3
sockshop anomaly_net anomaly_net_aggressive_steady_r1
sockshop anomaly_net anomaly_net_aggressive_steady_r2
sockshop dependency_outage dependency_outage_aggressive_steady_r1
sockshop dependency_outage dependency_outage_aggressive_steady_r2
sockshop error_storm error_storm_aggressive_burst_r1
sockshop error_storm error_storm_aggressive_burst_r2
sockshop noisy_neighbor noisy_neighbor_aggressive_steady_r1
sockshop noisy_neighbor noisy_neighbor_aggressive_steady_r2
sockshop normal gate01
sockshop normal normal_none_burst_r1
sockshop normal normal_none_burst_r2
sockshop queue_backlog queue_backlog_aggressive_steady_r1
sockshop queue_backlog queue_backlog_aggressive_steady_r2
sockshop slow_db slow_db_aggressive_burst_r1
sockshop slow_db slow_db_aggressive_burst_r2
sockshop slow_db slow_db_aggressive_steady_r1
sockshop svc_cpu_cap svc_cpu_cap_aggressive_steady_r1
sockshop svc_cpu_cap svc_cpu_cap_aggressive_steady_r2
sockshop svc_mem_cap svc_mem_cap_aggressive_steady_r1
sockshop svc_mem_cap svc_mem_cap_aggressive_steady_r2
sockshop svc_net svc_net_aggressive_steady_r1
sockshop svc_net svc_net_aggressive_steady_r2

# ---- trainticket ----
trainticket anomaly_disk tt_anomaly_disk_aggressive_steady_r1
trainticket anomaly_disk tt_anomaly_disk_aggressive_steady_r2
trainticket anomaly_disk tt_anomaly_disk_aggressive_steady_r3
trainticket anomaly_cpu tt_anomaly_cpu_aggressive_steady_r1
trainticket anomaly_cpu tt_anomaly_cpu_aggressive_steady_r2
trainticket anomaly_mem tt_anomaly_mem_aggressive_steady_r1
trainticket anomaly_mem tt_anomaly_mem_aggressive_steady_r2
trainticket anomaly_mem tt_anomaly_mem_aggressive_steady_r3
trainticket anomaly_net tt_anomaly_net_aggressive_steady_r1
trainticket anomaly_net tt_anomaly_net_aggressive_steady_r2
trainticket dependency_outage tt_dependency_outage_aggressive_steady_r1
trainticket dependency_outage tt_dependency_outage_aggressive_steady_r2
trainticket error_storm tt_error_storm_aggressive_burst_r1
trainticket error_storm tt_error_storm_aggressive_burst_r2
trainticket noisy_neighbor tt_noisy_neighbor_aggressive_steady_r1
trainticket noisy_neighbor tt_noisy_neighbor_aggressive_steady_r2
trainticket normal tt_normal_none_burst_r1
trainticket normal tt_normal_none_burst_r2
trainticket normal tt_normal_none_burst_r3
trainticket slow_db tt_slow_db_aggressive_burst_r1
trainticket slow_db tt_slow_db_aggressive_burst_r2
trainticket slow_db tt_slow_db_aggressive_steady_r1
trainticket svc_cpu_cap tt_svc_cpu_cap_aggressive_steady_r1
trainticket svc_cpu_cap tt_svc_cpu_cap_aggressive_steady_r2
trainticket svc_mem_cap tt_svc_mem_cap_aggressive_steady_r1
trainticket svc_mem_cap tt_svc_mem_cap_aggressive_steady_r2
trainticket svc_net tt_svc_net_aggressive_steady_r1
trainticket svc_net tt_svc_net_aggressive_steady_r2

