# Packet-loss confirmation sweep (finding F14).
#
# Retransmissions are the one signal specific to a network fault - nothing else in the
# catalogue drops packets. First probe: host-wide fault 12/16 interfaces impaired, single
# container fault 1/18 at 52.6%, healthy 0/18 at 0%, baseline 0% everywhere.
#
# This confirms it across every run and both applications, and checks the non-network
# families stay quiet - the check that A3 and A4 failed.
#
# Format: <app> <family> <run_id>

# ---- sockshop ----
sockshop anomaly_net anomaly_net_aggressive_steady_r1
sockshop anomaly_net anomaly_net_aggressive_steady_r2
sockshop anomaly_net anomaly_net_aggressive_steady_r3
sockshop svc_net svc_net_aggressive_steady_r1
sockshop svc_net svc_net_aggressive_steady_r2
sockshop svc_net svc_net_aggressive_steady_r3
sockshop normal gate01
sockshop normal normal_none_burst_r1
sockshop normal normal_none_burst_r2
sockshop slow_db slow_db_aggressive_burst_r1
sockshop slow_db slow_db_aggressive_burst_r2
sockshop slow_db slow_db_aggressive_steady_r1
sockshop dependency_outage dependency_outage_aggressive_steady_r1
sockshop dependency_outage dependency_outage_aggressive_steady_r2
sockshop svc_cpu_cap svc_cpu_cap_aggressive_steady_r1
sockshop svc_cpu_cap svc_cpu_cap_aggressive_steady_r2
sockshop noisy_neighbor noisy_neighbor_aggressive_steady_r1
sockshop noisy_neighbor noisy_neighbor_aggressive_steady_r2
sockshop error_storm error_storm_aggressive_burst_r1
sockshop error_storm error_storm_aggressive_burst_r2

# ---- trainticket ----
trainticket anomaly_net tt_anomaly_net_aggressive_steady_r1
trainticket anomaly_net tt_anomaly_net_aggressive_steady_r2
trainticket anomaly_net tt_anomaly_net_aggressive_steady_r3
trainticket svc_net tt_svc_net_aggressive_steady_r1
trainticket svc_net tt_svc_net_aggressive_steady_r2
trainticket svc_net tt_svc_net_aggressive_steady_r3
trainticket normal tt_normal_none_burst_r1
trainticket normal tt_normal_none_burst_r2
trainticket normal tt_normal_none_burst_r3
trainticket slow_db tt_slow_db_aggressive_burst_r1
trainticket slow_db tt_slow_db_aggressive_burst_r2
trainticket slow_db tt_slow_db_aggressive_steady_r1
trainticket dependency_outage tt_dependency_outage_aggressive_steady_r1
trainticket dependency_outage tt_dependency_outage_aggressive_steady_r2
trainticket svc_cpu_cap tt_svc_cpu_cap_aggressive_steady_r1
trainticket svc_cpu_cap tt_svc_cpu_cap_aggressive_steady_r2
trainticket noisy_neighbor tt_noisy_neighbor_aggressive_steady_r1
trainticket noisy_neighbor tt_noisy_neighbor_aggressive_steady_r2
trainticket error_storm tt_error_storm_aggressive_burst_r1
trainticket error_storm tt_error_storm_aggressive_burst_r2

