run_id,fault,intensity,verification
anomaly_cpu_aggressive_steady_r1,anomaly_cpu,aggressive,confirmed
anomaly_cpu_aggressive_steady_r2,anomaly_cpu,aggressive,confirmed
anomaly_cpu_aggressive_steady_r3,anomaly_cpu,aggressive,confirmed
dependency_outage_aggressive_steady_r1,dependency_outage_payment,aggressive,borderline
dependency_outage_aggressive_steady_r2,dependency_outage_payment,aggressive,borderline
dependency_outage_aggressive_steady_r3,dependency_outage_payment,aggressive,borderline
error_storm_aggressive_burst_r1,error_storm_catalogue,aggressive,confirmed
error_storm_aggressive_burst_r2,error_storm_catalogue,aggressive,confirmed
error_storm_aggressive_steady_r1,error_storm_catalogue,aggressive,confirmed
error_storm_aggressive_steady_r2,error_storm_catalogue,aggressive,confirmed
error_storm_aggressive_steady_r3,error_storm_catalogue,aggressive,confirmed
noisy_neighbor_aggressive_steady_r1,noisy_neighbor,aggressive,confirmed
noisy_neighbor_aggressive_steady_r2,noisy_neighbor,aggressive,confirmed
noisy_neighbor_aggressive_steady_r3,noisy_neighbor,aggressive,confirmed
noisy_neighbor_subtle_steady_r1,noisy_neighbor,subtle,confirmed
noisy_neighbor_subtle_steady_r2,noisy_neighbor,subtle,confirmed
normal_none_burst_r1,normal,,n/a
normal_none_burst_r2,normal,,n/a
normal_none_burst_r3,normal,,n/a
normal_none_steady_r1,normal,,n/a
normal_none_steady_r2,normal,,n/a
normal_none_steady_r3,normal,,n/a
queue_backlog_aggressive_steady_r1,queue_backlog,aggressive,confirmed
queue_backlog_aggressive_steady_r2,queue_backlog,aggressive,confirmed
queue_backlog_aggressive_steady_r3,queue_backlog,aggressive,confirmed
slow_db_aggressive_burst_r1,slow_db_catalogue,aggressive,confirmed
slow_db_aggressive_burst_r2,slow_db_catalogue,aggressive,confirmed
slow_db_aggressive_steady_r1,slow_db_catalogue,aggressive,confirmed
slow_db_aggressive_steady_r2,slow_db_catalogue,aggressive,confirmed
slow_db_aggressive_steady_r3,slow_db_catalogue,aggressive,confirmed
slow_db_subtle_steady_r1,slow_db_catalogue,subtle,confirmed
slow_db_subtle_steady_r2,slow_db_catalogue,subtle,confirmed
svc_cpu_cap_aggressive_steady_r1,svc_cpu_cap_carts,aggressive,confirmed
svc_cpu_cap_aggressive_steady_r2,svc_cpu_cap_carts,aggressive,confirmed
svc_cpu_cap_aggressive_steady_r3,svc_cpu_cap_carts,aggressive,confirmed
svc_cpu_cap_subtle_steady_r1,svc_cpu_cap_carts,subtle,confirmed
svc_cpu_cap_subtle_steady_r2,svc_cpu_cap_carts,subtle,confirmed
svc_mem_cap_aggressive_steady_r1,svc_mem_cap_carts,aggressive,confirmed
svc_mem_cap_aggressive_steady_r2,svc_mem_cap_carts,aggressive,confirmed
svc_mem_cap_aggressive_steady_r3,svc_mem_cap_carts,aggressive,confirmed
