fault_family,fault_name,run_id,intensity,target_service,expected_winning_modality,verification,kernel_l0_gb,has_L1,has_L3
A_host_resource,anomaly_cpu,anomaly_cpu_aggressive_steady_r1,aggressive,host,kernel,confirmed,2.29,True,True
A_host_resource,anomaly_cpu,anomaly_cpu_aggressive_steady_r2,aggressive,host,kernel,confirmed,2.35,True,True
A_host_resource,anomaly_cpu,anomaly_cpu_aggressive_steady_r3,aggressive,host,kernel,confirmed,2.3,True,True
A_host_resource,anomaly_disk,anomaly_disk_aggressive_steady_r1,aggressive,host,kernel,confirmed,3.16,True,True
A_host_resource,anomaly_disk,anomaly_disk_aggressive_steady_r2,aggressive,host,kernel,confirmed,3.18,True,True
A_host_resource,anomaly_disk,anomaly_disk_aggressive_steady_r3,aggressive,host,kernel,confirmed,3.19,True,True
A_host_resource,anomaly_mem,anomaly_mem_aggressive_steady_r1,aggressive,host,kernel,confirmed,2.99,True,True
A_host_resource,anomaly_mem,anomaly_mem_aggressive_steady_r2,aggressive,host,kernel,confirmed,2.96,True,True
A_host_resource,anomaly_mem,anomaly_mem_aggressive_steady_r3,aggressive,host,kernel,confirmed,2.94,True,True
A_host_resource,anomaly_net,anomaly_net_aggressive_steady_r1,aggressive,host,traces,confirmed,1.6,True,True
A_host_resource,anomaly_net,anomaly_net_aggressive_steady_r2,aggressive,host,traces,confirmed,1.61,True,True
A_host_resource,anomaly_net,anomaly_net_aggressive_steady_r3,aggressive,host,traces,confirmed,1.6,True,True
D_dependency,dependency_outage_payment,dependency_outage_aggressive_steady_r1,aggressive,payment,traces,borderline,2.28,True,True
D_dependency,dependency_outage_payment,dependency_outage_aggressive_steady_r2,aggressive,payment,traces,borderline,2.29,True,True
D_dependency,dependency_outage_payment,dependency_outage_aggressive_steady_r3,aggressive,payment,traces,borderline,2.28,True,True
C_application,error_storm_catalogue,error_storm_aggressive_burst_r1,aggressive,catalogue,logs,confirmed,2.43,True,True
C_application,error_storm_catalogue,error_storm_aggressive_burst_r2,aggressive,catalogue,logs,confirmed,2.4,True,True
C_application,error_storm_catalogue,error_storm_aggressive_steady_r1,aggressive,catalogue,logs,confirmed,2.51,True,True
C_application,error_storm_catalogue,error_storm_aggressive_steady_r2,aggressive,catalogue,logs,confirmed,2.52,True,True
C_application,error_storm_catalogue,error_storm_aggressive_steady_r3,aggressive,catalogue,logs,confirmed,2.52,True,True
E_infrastructure,noisy_neighbor,noisy_neighbor_aggressive_steady_r1,aggressive,host,kernel,confirmed,2.64,True,True
E_infrastructure,noisy_neighbor,noisy_neighbor_aggressive_steady_r2,aggressive,host,kernel,confirmed,2.65,True,True
E_infrastructure,noisy_neighbor,noisy_neighbor_aggressive_steady_r3,aggressive,host,kernel,confirmed,2.64,True,True
E_infrastructure,noisy_neighbor,noisy_neighbor_subtle_steady_r1,subtle,host,kernel,confirmed,2.64,True,True
E_infrastructure,noisy_neighbor,noisy_neighbor_subtle_steady_r2,subtle,host,kernel,confirmed,2.66,True,True
D_dependency,queue_backlog,queue_backlog_aggressive_steady_r1,aggressive,queue-master,kernel,confirmed,2.7,True,True
D_dependency,queue_backlog,queue_backlog_aggressive_steady_r2,aggressive,queue-master,kernel,confirmed,2.69,True,True
D_dependency,queue_backlog,queue_backlog_aggressive_steady_r3,aggressive,queue-master,kernel,confirmed,2.7,True,True
C_application,slow_db_catalogue,slow_db_aggressive_burst_r1,aggressive,catalogue-db,kernel,confirmed,2.42,True,True
C_application,slow_db_catalogue,slow_db_aggressive_burst_r2,aggressive,catalogue-db,kernel,confirmed,2.39,True,True
C_application,slow_db_catalogue,slow_db_aggressive_steady_r1,aggressive,catalogue-db,kernel,confirmed,1.85,True,True
C_application,slow_db_catalogue,slow_db_aggressive_steady_r2,aggressive,catalogue-db,kernel,confirmed,1.85,True,True
C_application,slow_db_catalogue,slow_db_aggressive_steady_r3,aggressive,catalogue-db,kernel,confirmed,1.85,True,True
C_application,slow_db_catalogue,slow_db_subtle_steady_r1,subtle,catalogue-db,kernel,confirmed,2.62,True,True
C_application,slow_db_catalogue,slow_db_subtle_steady_r2,subtle,catalogue-db,kernel,confirmed,2.59,True,True
B_service_resource,svc_cpu_cap_carts,svc_cpu_cap_aggressive_steady_r1,aggressive,carts,kernel,confirmed,1.57,True,True
B_service_resource,svc_cpu_cap_carts,svc_cpu_cap_aggressive_steady_r2,aggressive,carts,kernel,confirmed,1.59,True,True
B_service_resource,svc_cpu_cap_carts,svc_cpu_cap_aggressive_steady_r3,aggressive,carts,kernel,confirmed,1.59,True,True
B_service_resource,svc_cpu_cap_carts,svc_cpu_cap_subtle_steady_r1,subtle,carts,kernel,confirmed,2.07,True,True
B_service_resource,svc_cpu_cap_carts,svc_cpu_cap_subtle_steady_r2,subtle,carts,kernel,confirmed,2.12,True,True
B_service_resource,svc_mem_cap_carts,svc_mem_cap_aggressive_steady_r1,aggressive,carts,logs,confirmed,2.72,True,True
B_service_resource,svc_mem_cap_carts,svc_mem_cap_aggressive_steady_r2,aggressive,carts,logs,confirmed,2.68,True,True
B_service_resource,svc_mem_cap_carts,svc_mem_cap_aggressive_steady_r3,aggressive,carts,logs,confirmed,2.67,True,True
B_service_resource,svc_net_carts,svc_net_aggressive_steady_r1,aggressive,carts,traces,confirmed,1.82,True,True
B_service_resource,svc_net_carts,svc_net_aggressive_steady_r2,aggressive,carts,traces,confirmed,1.84,True,True
B_service_resource,svc_net_carts,svc_net_aggressive_steady_r3,aggressive,carts,traces,confirmed,1.84,True,True
